ID;COUNTRY;STATE;LAT;LONG;DAY;MONTH;YEAR
256;EC;;-0.816;-75.9082;17;2;2022
257;EC;;-0.7835;-75.9059;30;5;2023
258;EC;;-0.6639;-75.9164;21;2;2023
259;EC;;-1.0283;-75.4361;12;4;2023
260;EC;;-1.1373;-75.498;15;9;2021
261;EC;;-0.5305;-76.3779;4;2;2021
262;EC;;-0.786;-75.9016;11;10;2023
263;EC;;-0.5299;-76.3873;4;3;2022
264;EC;;-0.7803;-75.906;14;2;2023
265;EC;;-0.9975;-76.8698;8;8;2022
266;EC;;-0.664;-75.9164;14;8;2022
267;EC;;-0.7596;-75.9074;4;11;2021
268;EC;;-0.5252;-76.3837;9;2;2021
269;EC;;-0.8509;-75.9252;8;1;2022
270;EC;;-0.8696;-75.9271;15;4;2022
271;EC;;-0.8088;-75.9049;27;10;2023
272;EC;;-0.5309;-76.387;9;2;2021
273;EC;;-0.5338;-76.3696;9;1;2022
274;EC;;-0.8085;-75.9047;29;6;2023
275;EC;;-0.5253;-76.3867;19;3;2021
276;EC;;-0.6892;-76.4185;27;10;2021
277;EC;;-0.6812;-76.3981;20;1;2021
278;EC;;-0.5328;-76.3767;28;6;2021
279;EC;;-0.5255;-76.3811;21;12;2020
280;EC;;-0.9576;-75.62;9;12;2020
281;EC;;-0.8057;-75.9044;23;10;2021
282;EC;;-0.5287;-76.3794;7;7;2021
283;EC;;-0.6672;-75.93;19;5;2022
284;EC;;-0.663;-75.9719;11;4;2021
285;EC;;-0.526;-76.3846;25;7;2022
286;EC;;-0.5087;-76.4365;19;5;2022
287;EC;;-0.5284;-76.3883;9;6;2023
288;EC;;-0.6433;-76.6127;26;1;2020
289;EC;;-0.8666;-75.9265;7;5;2022
290;EC;;-0.5305;-76.378;21;3;2021
291;EC;;-0.9781;-76.854;7;6;2022
292;EC;;-0.8153;-75.9079;13;11;2021
293;EC;;-0.7383;-75.9215;13;3;2023
294;EC;;-0.8353;-75.9203;18;6;2022
295;EC;;-0.8182;-75.6111;14;5;2021
296;EC;;-0.6673;-75.9512;30;1;2023
297;EC;;-0.525;-76.3827;16;12;2021
298;EC;;-0.5194;-76.3568;13;5;2021
299;EC;;-0.6721;-76.3994;25;8;2022
300;EC;;-0.679;-76.3993;24;3;2021
301;EC;;-0.6717;-75.9049;12;9;2022
302;EC;;-0.7448;-75.9188;10;10;2022
303;EC;;-0.7515;-75.9156;23;8;2022
304;EC;;-0.8264;-75.6127;5;10;2022
305;EC;;-0.9721;-75.4383;7;7;2020
306;EC;;-0.8915;-76.7789;22;5;2023
307;EC;;-0.8303;-76.8054;18;10;2021
