ID;Country_Code;Province;Latitude;Longitude;Date;Day;Month;Year
124;EC;;-0.6814;-76.4023;4/8/2020;8;4;2020
125;EC;;-0.6821;-75.9463;2/20/2023;20;2;2023
126;EC;;-0.6672;-75.911;2/21/2023;21;2;2023
127;EC;;-0.6672;-75.9508;2/6/2023;6;2;2023
128;EC;;-0.7837;-75.9054;12/16/2021;16;12;2021
129;EC;;-0.8154;-75.908;2/15/2022;15;2;2022
130;EC;;-0.795;-75.9024;6/14/2022;14;6;2022
131;EC;;-1.0358;-75.43;9/26/2020;26;9;2020
132;EC;;-0.8182;-75.6112;2/2/2023;2;2;2023
133;EC;;-0.8432;-75.9233;12/29/2021;29;12;2021
134;EC;;-0.8323;-75.9181;1/29/2021;29;1;2021
135;EC;;-0.7835;-75.9059;6/14/2023;14;6;2023
136;EC;;-1.1687;-76.5428;8/29/2021;29;8;2021
137;EC;;-0.9748;-75.4449;8/28/2020;28;8;2020
138;EC;;-1.5811;-75.686;2/24/2023;24;2;2023
139;EC;;-0.8367;-75.9202;8/16/2022;16;8;2022
140;EC;;-0.8139;-75.9073;9/9/2022;9;9;2022
141;EC;;-0.9757;-75.4333;8/1/2021;1;8;2021
142;EC;;-0.6902;-75.9275;11/19/2022;19;11;2022
143;EC;;-0.7618;-75.9063;8/13/2023;13;8;2023
144;EC;;-0.5258;-76.3856;1/6/2020;6;1;2020
145;EC;;-1.1048;-75.4918;7/5/2023;5;7;2023
146;EC;;-0.5323;-76.377;5/17/2022;17;5;2022
147;EC;;-0.9859;-75.4524;11/13/2022;13;11;2022
148;EC;;-0.5266;-76.3862;8/9/2022;9;8;2022
149;EC;;-0.9789;-76.8712;6/6/2022;6;6;2022
150;EC;;-0.5272;-76.3873;6/6/2021;6;6;2021
151;EC;;-0.6428;-75.9214;8/4/2022;4;8;2022
152;EC;;-0.6717;-75.9049;9/2/2022;2;9;2022
153;EC;;-0.6877;-75.9378;10/18/2022;18;10;2022
154;EC;;-0.7705;-75.9059;11/11/2021;11;11;2021
155;EC;;-0.7631;-75.9059;3/24/2023;24;3;2023
156;EC;;-0.9756;-75.4338;6/8/2023;8;6;2023
157;EC;;-0.7587;-75.9078;3/19/2023;19;3;2023
158;EC;;-0.6639;-75.9165;8/2/2022;2;8;2022
159;EC;;-0.8152;-75.9079;11/29/2022;29;11;2022
160;EC;;-0.5284;-76.3883;9/3/2023;3;9;2023
161;EC;;-0.6674;-75.9275;5/19/2022;19;5;2022
162;EC;;-0.6809;-76.4033;11/13/2020;13;11;2020
163;EC;;-0.6607;-75.9749;3/11/2021;11;3;2021
164;EC;;-0.7507;-75.9162;7/3/2023;3;7;2023
165;EC;;-0.6863;-75.9245;2/17/2022;17;2;2022
166;EC;;-0.9884;-75.4536;10/27/2021;27;10;2021
167;EC;;-0.5257;-76.3925;3/19/2021;19;3;2021
168;EC;;-0.7448;-75.9188;5/3/2023;3;5;2023
169;EC;;-0.73;-75.9166;4/3/2023;3;4;2023
170;EC;;-0.6637;-75.9167;8/2/2022;2;8;2022
171;EC;;-0.5314;-76.3719;3/6/2020;6;3;2020
172;EC;;-0.5255;-76.391;8/22/2021;22;8;2021
173;EC;;-0.8515;-75.9258;2/1/2023;1;2;2023
174;EC;;-0.7874;-75.8995;6/14/2022;14;6;2022
175;EC;;-0.7832;-75.9058;3/20/2023;20;3;2023
176;EC;;-0.5305;-76.3778;4/29/2020;29;4;2020
177;EC;;-1.1035;-75.4917;12/10/2020;10;12;2020
178;EC;;-0.6676;-75.9404;12/5/2022;5;12;2022
179;EC;;-0.8466;-75.9239;3/22/2022;22;3;2022
180;EC;;-0.7743;-75.9059;9/5/2020;5;9;2020
181;EC;;-0.5272;-76.3853;1/16/2021;16;1;2021
182;EC;;-0.6766;-75.9533;2/6/2023;6;2;2023
183;EC;;-0.6741;-76.398;2/8/2021;8;2;2021
184;EC;;-0.4996;-76.4415;9/8/2022;8;9;2022
185;EC;;-0.5324;-76.3755;7/29/2021;29;7;2021
186;EC;;-0.9747;-75.4343;9/28/2022;28;9;2022
187;EC;;-0.8532;-75.9245;9/24/2023;24;9;2023
188;EC;;-1.1079;-76.7301;6/22/2023;22;6;2023
189;EC;;-0.8176;-75.6128;6/16/2020;16;6;2020
190;EC;;-0.5304;-76.3781;3/14/2021;14;3;2021
191;EC;;-0.8612;-75.9218;5/18/2022;18;5;2022
192;EC;;-1.0374;-75.4284;6/16/2021;16;6;2021
193;EC;;-0.8155;-75.6192;4/19/2022;19;4;2022
